,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Bara,NG,73.0,overcast clouds,10.3744,10.7288,
576,Agnibilekrou,CI,70.56,broken clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
577,Carbonia,IT,61.02,broken clouds,39.1672,8.5222,Lu 'Hotel
580,Corinto,GR,71.89,scattered clouds,37.9407,22.9573,Ephira Hotel
581,Sinnamary,GF,78.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
583,Esperanza,DO,77.49,overcast clouds,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
585,Ntoum,GA,78.57,moderate rain,0.3833,9.7833,Hôtel Santa Barbara
587,Norman,US,74.97,clear sky,35.2226,-97.4395,"Country Inn & Suites by Radisson, Norman, OK"
589,Barranca,PE,60.87,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
590,Glossa,GR,69.1,few clouds,35.4717,23.7763,Elia Hotel & Spa
592,Pirajui,BR,68.47,few clouds,-21.9986,-49.4572,Pirajuí Plaza Hotel
593,Daltenganj,IN,74.7,overcast clouds,24.0333,84.0667,Hotel Galaxy Inn
594,Grass Valley,US,75.83,clear sky,39.2191,-121.0611,Holbrooke Hotel
596,Avanigadda,IN,76.73,overcast clouds,16.0215,80.9181,AP Camping
598,Surt,LY,76.57,overcast clouds,31.2089,16.5887,فندق المدينة
599,Katobu,ID,88.68,overcast clouds,-4.9408,122.5276,La Ode Husein
602,Acapulco,MX,79.45,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
605,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
606,America Dourada,BR,72.41,few clouds,-11.4553,-41.4361,Cantinho das araras
607,Ukiah,US,76.64,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
608,Manggar,ID,83.32,broken clouds,-2.8833,108.2667,Guest Hotel
609,Meulaboh,ID,77.14,light rain,4.1363,96.1285,Kost Pria
611,Itinga,BR,77.97,broken clouds,-16.6131,-41.7653,Hotel Restaurante Itinga
612,Axim,GH,75.09,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
613,Marawi,PH,81.75,overcast clouds,7.9986,124.2928,Derogongan Residence
616,Gigmoto,PH,84.27,overcast clouds,13.7796,124.39,Cj's Travellers Inn
619,Itupiranga,BR,77.32,broken clouds,-5.1347,-49.3267,Hotel Panorama
623,Batangafo,CF,68.56,overcast clouds,7.3008,18.2833,OCHA Office
624,Urucara,BR,75.16,moderate rain,-2.5364,-57.76,Pousada Maria Bonita
626,Hervey Bay,AU,75.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
627,Monrovia,LR,76.77,broken clouds,6.3005,-10.7969,Sunset Inn
628,Las Tunas,CU,73.96,broken clouds,20.9617,-76.9511,Hotel Cadillac
630,Bilma,NE,84.47,clear sky,18.6853,12.9164,Expeditions Ténére voyages
631,Sarangani,PH,82.94,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
632,Humaita,BR,74.3,broken clouds,-7.5061,-63.0208,Corrêa Hotel
635,San Angelo,US,73.11,few clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
636,Caravelas,BR,75.2,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
638,Lydenburg,ZA,72.39,clear sky,-25.0978,30.4597,The Palms Boutique Hotel
640,Porto Walter,BR,74.21,few clouds,-8.2686,-72.7439,Hotel Silva
641,Lagos,NG,77.32,overcast clouds,6.5833,3.75,
645,Kaeo,NZ,61.79,broken clouds,-35.1,173.7833,Bushido Lodge
646,San Jose,US,71.26,clear sky,37.3394,-121.895,The Westin San Jose
647,Mitsamiouli,KM,74.61,clear sky,-11.3847,43.2844,Foyer ADM
648,Puerto Escondido,MX,79.36,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
649,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
651,Razole,IN,76.19,moderate rain,16.4833,81.8333,Sterling Palavelli Godavari
652,Atambua,ID,85.21,overcast clouds,-9.1061,124.8925,Ros Muskanan
654,Ceuta,ES,75.24,clear sky,35.8903,-5.3075,Ceuta Puerta de Africa
655,Broken Hill,AU,78.73,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
656,Abengourou,CI,70.3,broken clouds,6.7297,-3.4964,Hotel des Princes
658,Kurilsk,RU,62.51,moderate rain,45.2333,147.8833,Hotel Ostrov
660,Madera,US,79.45,clear sky,37.1666,-119.8343,
664,Akora,PK,72.97,clear sky,34.0036,72.1261,Alba feeds store
666,Ozu,JP,85.17,broken clouds,33.5,132.55,HOTEL FOREST
668,Upata,VE,77.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
