,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Marrakesh,MA,31.6315,-8.0083,71.67,37,22,2.3,few clouds
349,Longonjo,AO,-12.9067,15.2533,62.6,82,88,1.12,overcast clouds
350,Preobrazheniye,RU,42.9019,133.9064,45.52,42,100,7.74,overcast clouds
351,Koundara,GN,12.4833,-13.3,74.46,94,100,2.93,overcast clouds
352,Beloha,MG,-25.1667,45.05,64.99,72,0,4.59,clear sky
353,Bethal,ZA,-26.4579,29.4655,62.53,29,3,6.06,clear sky
354,Narasannapeta,IN,18.4167,84.05,76.69,94,100,6.15,moderate rain
355,Termoli,IT,41.9888,14.9895,64.78,56,0,7.18,clear sky
356,Ruteng,ID,-8.6136,120.4721,74.03,68,100,1.63,overcast clouds
357,Grindavik,IS,63.8424,-22.4338,51.75,76,100,17.27,overcast clouds
358,Mulki,IN,13.1,74.8,78.08,88,20,3.44,few clouds
359,Westport,US,41.1415,-73.3579,50.45,85,100,11.01,overcast clouds
360,Bria,CF,6.5423,21.9863,68.0,98,100,2.55,overcast clouds
361,Vieux-Habitants,GP,16.0589,-61.7659,78.37,78,13,9.98,few clouds
362,Severnyy,RU,50.677,36.5532,48.24,93,0,8.95,clear sky
363,Turukhansk,RU,65.8167,87.9833,30.63,79,100,20.56,overcast clouds
364,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,100,0,4.9,clear sky
365,Asekeyevo,RU,53.5742,52.7972,47.37,36,100,10.85,overcast clouds
366,Cayenne,GF,4.9333,-52.3333,78.84,83,0,0.0,clear sky
367,Berlevag,NO,70.8578,29.0864,39.0,93,100,5.75,overcast clouds
368,Beidao,CN,34.5686,105.8933,55.72,73,99,4.59,overcast clouds
369,Cervo,ES,43.6702,-7.4101,62.29,73,0,3.09,clear sky
370,Birjand,IR,32.8663,59.2211,54.07,30,0,6.91,clear sky
371,Havelock,US,34.8791,-76.9013,55.35,87,100,1.01,overcast clouds
372,Whyalla,AU,-33.0333,137.5833,73.29,53,75,17.27,broken clouds
373,Malartic,CA,48.1335,-78.1328,50.11,70,97,5.64,overcast clouds
374,Kavieng,PG,-2.5744,150.7967,85.82,63,100,9.48,overcast clouds
375,Capilla De Guadalupe,MX,20.8333,-102.5833,56.25,97,100,2.59,overcast clouds
376,Richards Bay,ZA,-28.783,32.0377,70.2,76,100,15.21,overcast clouds
377,Huntsville,US,34.7304,-86.5861,64.81,78,0,8.99,clear sky
378,Lac Du Bonnet,CA,50.2536,-96.0612,58.91,91,89,4.43,overcast clouds
379,Maningrida,AU,-12.0667,134.2667,88.29,58,94,9.15,overcast clouds
380,Lorengau,PG,-2.0226,147.2712,86.11,67,16,10.83,few clouds
381,Hualmay,PE,-11.0964,-77.6139,61.63,84,39,10.51,scattered clouds
382,Melita,CA,49.2681,-100.9967,59.54,56,6,1.86,clear sky
383,Fortuna,US,40.5982,-124.1573,58.93,81,5,3.85,clear sky
384,Coihaique,CL,-45.5752,-72.0662,48.81,66,0,2.3,clear sky
385,Lermontovka,RU,47.1453,134.3383,38.84,44,2,15.08,clear sky
386,Brae,GB,60.3964,-1.353,53.98,94,100,25.99,light rain
387,Sorkjosen,NO,69.8,20.9333,37.4,93,75,3.44,broken clouds
388,Solnechnyy,RU,50.7214,136.6319,33.69,72,100,12.39,overcast clouds
389,Almaznyy,RU,48.0448,40.045,52.54,74,100,6.69,overcast clouds
390,Dukat,RU,62.55,155.55,17.35,89,100,5.95,overcast clouds
391,Oranjestad,AW,12.524,-70.027,84.15,74,20,13.8,few clouds
392,Poum,NC,-20.2333,164.0167,74.1,64,2,16.78,clear sky
393,Chadiza,ZM,-14.0678,32.4392,65.71,45,1,2.53,clear sky
394,Mantua,IT,45.1667,10.7833,63.64,87,18,3.0,few clouds
395,Warmbad,NA,-28.45,18.7333,53.91,66,9,7.2,clear sky
396,Fairbanks,US,64.8378,-147.7164,51.8,72,40,5.75,scattered clouds
397,Port Lincoln,AU,-34.7333,135.8667,58.24,90,100,25.21,overcast clouds
398,Alofi,NU,-19.0595,-169.9187,82.29,74,75,12.66,broken clouds
399,Hyeres,FR,43.1167,6.1167,64.69,79,0,3.44,clear sky
400,Wanxian,CN,30.8039,108.3897,77.77,77,98,4.27,moderate rain
401,Nabire,ID,-3.3667,135.4833,81.66,78,90,2.71,overcast clouds
402,Kirensk,RU,57.7853,108.1119,32.04,75,96,2.95,overcast clouds
403,Kubachi,RU,42.086,47.6034,49.57,79,75,5.23,broken clouds
404,Samarai,PG,-10.6167,150.6667,81.5,82,93,13.82,overcast clouds
405,Batagay-Alyta,RU,67.8006,130.4114,21.11,82,59,3.36,broken clouds
406,Uvat,RU,59.1433,68.8953,45.7,88,100,7.81,light rain
407,Davila,PH,18.4726,120.5763,87.78,67,26,2.1,scattered clouds
408,Bogorodskoye,RU,56.55,37.8833,49.35,81,100,17.6,overcast clouds
409,Codrington,AU,-38.2667,141.9667,56.61,74,100,15.3,light rain
410,Shelburne,CA,44.0787,-80.2041,45.75,74,91,0.56,overcast clouds
411,Hailey,US,43.5196,-114.3153,57.9,47,5,2.53,clear sky
412,Mayo,US,38.8876,-76.5119,50.07,92,100,5.01,moderate rain
413,Clyde River,CA,70.4692,-68.5914,28.63,100,100,5.75,overcast clouds
414,Namibe,AO,-15.1961,12.1522,66.27,89,47,2.1,scattered clouds
415,Port Hedland,AU,-20.3167,118.5667,80.65,61,40,12.66,scattered clouds
416,Burpengary,AU,-27.1575,152.9576,73.02,50,65,8.32,broken clouds
417,Palermo,IT,37.8167,13.5833,64.53,86,73,1.81,broken clouds
418,Ulaanbaatar,MN,47.9077,106.8832,19.53,79,0,0.0,clear sky
419,Bonthe,SL,7.5264,-12.505,76.08,93,100,5.06,overcast clouds
420,Itarema,BR,-2.9248,-39.9167,77.76,79,95,14.23,overcast clouds
421,Aklavik,CA,68.2191,-135.0107,26.6,92,86,7.61,overcast clouds
422,Yuryevets,RU,57.3201,43.1041,49.82,80,0,15.9,clear sky
423,Lasa,IT,46.6166,10.7002,44.37,51,9,4.29,clear sky
424,Tazlar,HU,46.5482,19.5144,49.78,79,6,9.95,clear sky
425,Hudiksvall,SE,61.729,17.1036,42.28,88,2,5.84,clear sky
426,The Valley,AI,18.217,-63.0578,82.26,74,75,14.99,broken clouds
427,Muzhi,RU,65.3667,64.6667,35.44,86,8,9.91,clear sky
428,Arak,IR,34.0917,49.6892,57.9,29,0,4.09,clear sky
429,Sholokhovskiy,RU,48.2807,41.0459,53.26,73,99,5.77,overcast clouds
430,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,63,20,8.95,few clouds
431,Sorland,NO,67.667,12.6934,46.26,82,88,17.81,overcast clouds
432,Partenit,UA,44.578,34.3446,59.13,64,37,2.77,scattered clouds
433,Vilani,LV,56.5525,26.9245,41.81,96,100,14.83,overcast clouds
434,Tabuk,PH,17.4189,121.4443,83.93,73,64,4.34,broken clouds
435,Izhma,RU,65.0083,53.9113,38.77,89,100,4.12,overcast clouds
436,Carnduff,CA,49.1667,-101.8009,59.9,54,2,5.57,clear sky
437,Ndjole,GA,-0.1783,10.7649,72.9,99,100,2.19,light rain
438,Pudozh,RU,61.8099,36.5345,48.15,90,84,7.78,broken clouds
439,Nossa Senhora Da Gloria,BR,-10.2183,-37.4203,62.98,91,2,6.24,clear sky
440,Canico,PT,32.6333,-16.85,68.63,83,20,8.05,few clouds
441,Waipawa,NZ,-41.4122,175.5153,57.92,55,10,9.44,clear sky
442,Rafaela,AR,-31.2503,-61.4867,64.99,46,6,1.99,clear sky
443,Novobirilyussy,RU,56.9514,90.6661,32.77,70,24,3.06,few clouds
444,Nuevitas,CU,21.5453,-77.2644,77.59,79,35,3.38,scattered clouds
445,Alihe,CN,50.5667,123.7167,37.67,29,1,11.92,clear sky
446,Pandan,PH,14.0453,124.1694,84.34,75,95,5.61,overcast clouds
447,Jalu,LY,29.0331,21.5482,69.93,73,0,10.89,clear sky
448,Margate,GB,51.3813,1.3862,60.91,93,73,5.01,broken clouds
449,Oistins,BB,13.0667,-59.5333,80.69,89,40,13.8,scattered clouds
450,Prainha,BR,-1.8,-53.48,77.67,67,12,3.0,few clouds
451,Sabha,LY,27.0377,14.4283,70.27,47,26,9.08,scattered clouds
452,Valdez,EC,1.2492,-78.9831,77.85,84,100,11.27,overcast clouds
453,Staryy Nadym,RU,65.6118,72.6842,37.36,92,97,11.48,overcast clouds
454,Touros,BR,-5.1989,-35.4608,76.53,77,20,13.11,few clouds
455,Pindiga,NG,9.9833,10.9333,70.45,96,100,7.52,overcast clouds
456,Hobyo,SO,5.3505,48.5268,76.03,88,45,17.45,scattered clouds
457,Deputatskiy,RU,69.3,139.9,14.54,92,54,3.27,broken clouds
458,Litovko,RU,49.2361,135.1742,39.18,64,100,11.23,overcast clouds
459,Los Lunas,US,34.8062,-106.7334,68.7,88,97,13.6,overcast clouds
460,College,US,64.8569,-147.8028,48.97,77,56,4.32,broken clouds
461,Pacific Grove,US,36.6177,-121.9166,69.22,78,0,10.0,clear sky
462,Taloqan,AF,36.7361,69.5345,58.73,38,0,2.82,clear sky
463,Beterou,BJ,9.1992,2.2586,72.27,95,63,4.47,broken clouds
464,Antropovo,RU,58.3988,43.0066,45.93,87,0,9.28,clear sky
465,Taltal,CL,-25.4,-70.4833,56.35,79,27,2.55,scattered clouds
466,Labuhan,ID,-6.8844,112.2051,83.61,67,96,8.57,overcast clouds
467,Huai Yot,TH,7.7893,99.6348,83.52,78,97,3.18,overcast clouds
468,Mildura,AU,-34.2,142.15,62.33,57,100,15.21,light rain
469,Kutum,SD,14.2,24.6667,76.64,29,90,9.91,overcast clouds
470,General Roca,AR,-39.0333,-67.5833,58.66,80,85,3.38,overcast clouds
471,Verkhnevilyuysk,RU,63.4453,120.3167,29.66,69,97,7.67,overcast clouds
472,Carstairs,CA,51.5668,-114.102,66.83,59,5,7.31,clear sky
473,Honiara,SB,-9.4333,159.95,85.28,71,81,8.34,broken clouds
474,Pishva,IR,35.308,51.7267,70.43,31,0,2.04,clear sky
475,Zhuhai,CN,22.2769,113.5678,88.86,79,20,5.75,few clouds
476,Kulhudhuffushi,MV,6.6221,73.07,80.58,80,100,14.92,overcast clouds
477,Tuskegee,US,32.424,-85.6916,66.13,100,56,4.94,broken clouds
478,Dingle,PH,10.9995,122.6711,85.6,74,100,6.49,overcast clouds
479,Peski,RU,55.2163,38.7626,48.51,84,9,17.6,clear sky
480,Kushima,JP,31.4583,131.2333,82.81,64,60,6.06,broken clouds
481,Jatai,BR,-17.8814,-51.7144,75.58,55,45,3.58,light rain
482,Nushki,PK,29.5542,66.0215,66.72,17,0,1.07,clear sky
483,Rawson,AR,-43.3002,-65.1023,56.84,65,100,9.17,overcast clouds
484,Djenne,ML,13.9061,-4.5533,80.33,53,100,6.08,overcast clouds
485,Arlit,NE,18.7369,7.3853,90.21,14,0,5.39,clear sky
486,Husavik,IS,66.0449,-17.3389,42.37,92,93,6.76,overcast clouds
487,Yerbogachen,RU,61.2767,108.0108,29.46,63,21,7.56,few clouds
488,Dalby,AU,-27.1833,151.2667,72.75,42,5,8.32,clear sky
489,Lagoa,PT,39.05,-27.9833,68.47,80,96,4.76,overcast clouds
490,Pervoye Maya,RU,56.164,44.7196,50.29,96,14,9.04,few clouds
491,Aktau,KZ,43.65,51.2,54.18,30,1,17.02,clear sky
492,Hohhot,CN,40.8106,111.6522,37.69,48,0,4.47,clear sky
493,Coroico,BO,-16.1889,-67.7271,60.87,96,100,2.39,light rain
494,Springdale,US,36.1867,-94.1288,68.59,56,0,3.44,clear sky
495,Morropon,PE,-5.1822,-79.9689,69.53,70,62,4.85,broken clouds
496,Girau Do Ponciano,BR,-9.8842,-36.8289,64.36,90,4,6.55,clear sky
497,Basoko,CD,1.2391,23.616,68.83,94,100,3.31,overcast clouds
498,Keuruu,FI,62.2667,24.7,39.79,90,100,8.86,overcast clouds
499,Baykit,RU,61.67,96.37,29.77,79,77,3.18,broken clouds
500,Villa Rica,US,33.7321,-84.9191,65.79,89,13,5.17,few clouds
501,Avera,US,33.194,-82.5271,57.38,74,5,5.48,clear sky
502,Mehamn,NO,71.0357,27.8492,37.31,100,20,3.44,few clouds
503,Bira,RU,49.0,132.4667,38.05,42,96,10.54,overcast clouds
504,Alanya,TR,36.5438,31.9998,75.81,55,0,4.43,clear sky
505,Dawlatabad,AF,36.4141,64.9053,58.6,32,0,3.02,clear sky
506,Awbari,LY,26.5921,12.7805,71.33,30,52,7.11,broken clouds
507,Santiago,CL,-33.4569,-70.6483,55.29,76,75,10.36,broken clouds
508,Nizwa,OM,22.9333,57.5333,75.69,61,0,3.06,clear sky
509,Firozpur Jhirka,IN,27.8,76.95,80.08,49,1,2.82,clear sky
510,Robertsport,LR,6.7533,-11.3686,76.28,90,80,8.37,broken clouds
511,Katangli,RU,51.7102,143.2326,39.43,97,100,13.98,overcast clouds
512,Paciran,ID,-6.8767,112.3761,83.71,67,100,4.81,overcast clouds
513,Caarapo,BR,-22.6342,-54.8222,64.44,70,2,3.51,clear sky
514,San Joaquin,US,37.9333,-121.3011,79.34,51,0,7.16,clear sky
515,Sechura,PE,-5.5569,-80.8222,62.98,82,81,15.1,broken clouds
516,Fort-Shevchenko,KZ,44.5086,50.263,60.71,31,5,20.38,clear sky
517,La Paz,BO,-16.5,-68.15,42.78,87,40,4.61,scattered clouds
518,Atasu,KZ,48.6814,71.6433,32.23,43,0,9.48,clear sky
519,Raga,SS,8.4596,25.678,68.56,96,100,3.89,light rain
520,Mabaruma,GY,8.2,-59.7833,74.89,92,24,1.74,few clouds
521,Pamanukan,ID,-6.2842,107.8106,84.24,62,100,0.43,overcast clouds
522,Teahupoo,PF,-17.8333,-149.2667,69.76,82,33,22.53,light rain
523,Sur,OM,22.5667,59.5289,77.43,74,0,5.21,clear sky
524,Chitungwiza,ZW,-18.0127,31.0756,62.46,45,0,6.17,clear sky
525,Labytnangi,RU,66.6572,66.4183,32.85,94,15,8.28,few clouds
526,Kieta,PG,-6.2167,155.6333,83.23,77,100,7.27,light rain
527,Wake Forest,US,35.9799,-78.5097,52.77,87,19,11.36,few clouds
528,Humberto De Campos,BR,-2.5983,-43.4611,76.21,80,19,6.6,few clouds
529,Mataram,ID,-8.5833,116.1167,85.01,76,94,9.51,overcast clouds
530,Port-Gentil,GA,-0.7193,8.7815,77.34,84,100,10.63,light rain
531,Puerto Madryn,AR,-42.7692,-65.0385,59.36,61,100,23.73,overcast clouds
532,Kirakira,SB,-10.4544,161.9205,83.37,73,81,8.75,broken clouds
533,Keetmanshoop,NA,-26.5833,18.1333,57.92,52,0,5.64,clear sky
534,Kroya,ID,-7.6331,109.2461,81.19,78,83,8.34,broken clouds
535,Tymovskoye,RU,50.8456,142.655,36.68,99,100,6.06,light rain
536,Goderich,CA,43.7501,-81.7165,48.9,87,8,4.61,clear sky
537,Taguatinga,BR,-12.3857,-46.5711,81.39,38,29,5.06,scattered clouds
538,Merauke,ID,-8.4667,140.3333,87.55,65,72,7.63,broken clouds
539,Nishihara,JP,26.1842,127.7558,83.48,74,20,5.75,few clouds
540,Darnah,LY,32.767,22.6367,74.12,72,77,15.61,broken clouds
541,Yar-Sale,RU,66.8333,70.8333,37.99,81,100,12.06,overcast clouds
542,Sungaipenuh,ID,-2.0833,101.3833,72.59,77,100,3.31,overcast clouds
543,Harper,LR,4.375,-7.7169,75.6,90,99,5.01,overcast clouds
544,U Thong,TH,14.3751,99.8923,77.16,90,93,8.12,overcast clouds
545,Clinton,US,42.587,-82.9199,53.02,77,60,4.38,broken clouds
546,Tautira,PF,-17.7333,-149.15,76.37,81,23,21.99,light rain
547,Tenkodogo,BF,11.78,-0.3697,77.81,77,3,9.73,clear sky
548,Igrim,RU,63.1906,64.4162,41.41,88,100,3.91,overcast clouds
549,Bani Walid,LY,31.7566,13.9942,67.95,81,1,6.42,clear sky
550,San Cristobal,VE,7.7669,-72.225,75.38,87,59,2.39,broken clouds
551,Hammerfest,NO,70.6634,23.6821,41.45,75,100,2.3,overcast clouds
552,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.78,74,76,7.25,broken clouds
553,Calvinia,ZA,-31.4707,19.776,43.16,85,3,2.82,clear sky
554,Belmonte,BR,-15.8631,-38.8828,74.66,87,45,9.78,scattered clouds
555,Port Augusta,AU,-32.5,137.7667,82.08,32,95,20.98,overcast clouds
556,Turbat,PK,26.0023,63.044,77.16,83,3,2.19,clear sky
557,Balashov,RU,51.5502,43.1667,49.48,77,96,8.46,overcast clouds
558,Half Moon Bay,US,37.4636,-122.4286,68.92,77,0,8.05,clear sky
559,Trelew,AR,-43.249,-65.3051,58.19,62,100,6.93,overcast clouds
560,Gyongyostarjan,HU,47.8137,19.8672,47.52,80,3,7.09,clear sky
561,Baglan,AF,36.1307,68.7083,61.14,35,0,1.9,clear sky
562,Benemerito De Las Americas,MX,16.5167,-90.6439,71.89,93,100,2.62,overcast clouds
563,Formosa,AR,-26.1775,-58.1781,64.38,63,0,5.75,clear sky
564,Goba,ET,7.0167,39.9833,49.89,97,96,1.72,overcast clouds
565,Vanavara,RU,60.34,102.2797,29.44,70,21,5.23,few clouds
566,Cessnock,AU,-32.8333,151.35,75.42,40,49,3.33,scattered clouds
567,Saint-Pierre,RE,-21.3393,55.4781,67.68,68,0,5.75,clear sky
568,Alugan,PH,12.2188,125.4808,85.32,68,41,6.53,scattered clouds
569,Wuning,CN,29.2589,120.2311,75.85,82,68,10.71,broken clouds
570,Karratha,AU,-20.7377,116.8463,82.15,36,0,8.61,clear sky
571,Santa Maria Del Oro,MX,25.9333,-105.3667,55.98,87,59,2.35,broken clouds
572,Midland,US,31.9974,-102.0779,77.05,33,40,6.91,scattered clouds
573,Bara,NG,10.3744,10.7288,73.0,92,100,7.52,overcast clouds
574,Severomuysk,RU,56.1481,113.4267,14.59,82,60,4.21,broken clouds
575,Henties Bay,NA,-22.116,14.2845,54.57,95,38,5.12,scattered clouds
576,Agnibilekrou,CI,7.1344,-3.2047,70.56,100,54,2.71,broken clouds
577,Carbonia,IT,39.1672,8.5222,61.02,82,72,4.05,broken clouds
578,Nuuk,GL,64.1835,-51.7216,36.19,72,99,3.96,overcast clouds
579,Anadyr,RU,64.75,177.4833,32.5,93,75,6.71,fog
580,Corinto,GR,37.9407,22.9573,71.89,55,34,14.67,scattered clouds
581,Sinnamary,GF,5.3833,-52.95,78.01,88,92,7.78,overcast clouds
582,Novoagansk,RU,61.9449,76.6625,38.82,95,100,12.41,light rain
583,Esperanza,DO,19.5847,-70.9849,77.49,93,99,2.06,overcast clouds
584,San Carlos De Bariloche,AR,-41.1456,-71.3082,48.02,57,75,12.66,moderate rain
585,Ntoum,GA,0.3833,9.7833,78.57,97,100,3.87,moderate rain
586,Taoudenni,ML,22.6783,-3.9836,91.56,19,11,13.09,few clouds
587,Norman,US,35.2226,-97.4395,74.97,41,0,3.44,clear sky
588,Nantucket,US,41.2835,-70.0995,56.14,80,100,30.38,overcast clouds
589,Barranca,PE,-10.75,-77.7667,60.87,85,30,8.72,scattered clouds
590,Glossa,GR,35.4717,23.7763,69.1,75,24,6.51,few clouds
591,Marystown,CA,47.1666,-55.1483,45.21,67,19,8.03,few clouds
592,Pirajui,BR,-21.9986,-49.4572,68.47,84,13,4.9,few clouds
593,Daltenganj,IN,24.0333,84.0667,74.7,96,100,1.36,overcast clouds
594,Grass Valley,US,39.2191,-121.0611,75.83,55,0,1.01,clear sky
595,Neuquen,AR,-38.9516,-68.0591,53.49,94,0,4.61,clear sky
596,Avanigadda,IN,16.0215,80.9181,76.73,89,100,5.82,overcast clouds
597,Hovd,MN,48.0056,91.6419,29.86,26,5,0.65,clear sky
598,Surt,LY,31.2089,16.5887,76.57,67,100,13.44,overcast clouds
599,Katobu,ID,-4.9408,122.5276,88.68,57,89,1.52,overcast clouds
600,La Plata,AR,-34.9215,-57.9545,56.03,74,43,12.28,scattered clouds
601,Milkovo,RU,54.7167,158.6167,44.01,90,100,0.34,light rain
602,Acapulco,MX,16.8634,-99.8901,79.45,80,34,7.18,scattered clouds
603,Chama,CH,47.1821,8.4636,50.22,93,7,1.57,clear sky
604,Lata,PT,40.1629,-8.3327,58.08,60,1,3.06,clear sky
605,Sibu,MY,2.3,111.8167,79.11,94,40,1.14,scattered clouds
606,America Dourada,BR,-11.4553,-41.4361,72.41,50,21,12.84,few clouds
607,Ukiah,US,39.1502,-123.2078,76.64,80,0,4.83,clear sky
608,Manggar,ID,-2.8833,108.2667,83.32,68,81,2.93,broken clouds
609,Meulaboh,ID,4.1363,96.1285,77.14,85,98,1.34,light rain
610,Morris,US,40.8334,-74.5329,46.38,88,100,4.61,moderate rain
611,Itinga,BR,-16.6131,-41.7653,77.97,62,65,2.95,broken clouds
612,Axim,GH,4.8699,-2.2405,75.09,93,71,5.64,broken clouds
613,Marawi,PH,7.9986,124.2928,81.75,57,98,3.02,overcast clouds
614,Yemtsa,RU,63.0734,40.3329,43.25,98,100,7.87,overcast clouds
615,Waverly,US,42.7392,-84.6208,48.11,84,72,3.91,broken clouds
616,Gigmoto,PH,13.7796,124.39,84.27,77,99,5.23,overcast clouds
617,Ankazobe,MG,-18.3167,47.1167,58.6,60,0,1.61,clear sky
618,Mount Isa,AU,-20.7333,139.5,91.17,27,75,12.66,broken clouds
619,Itupiranga,BR,-5.1347,-49.3267,77.32,57,75,2.15,broken clouds
620,Popondetta,PG,-8.7537,148.2534,93.22,45,57,7.11,broken clouds
621,Klyuchi,RU,52.2667,79.1667,32.77,81,1,6.6,clear sky
622,Storforshei,NO,66.4043,14.5233,45.66,93,100,0.0,overcast clouds
623,Batangafo,CF,7.3008,18.2833,68.56,96,100,2.53,overcast clouds
624,Urucara,BR,-2.5364,-57.76,75.16,84,97,3.31,moderate rain
625,Borogontsy,RU,62.6683,131.1683,27.73,56,94,5.21,overcast clouds
626,Hervey Bay,AU,-25.2986,152.8535,75.02,47,33,5.99,scattered clouds
627,Monrovia,LR,6.3005,-10.7969,76.77,90,55,6.29,broken clouds
628,Las Tunas,CU,20.9617,-76.9511,73.96,92,57,1.99,broken clouds
629,Jelgava,LV,56.65,23.7128,50.04,73,100,16.89,overcast clouds
630,Bilma,NE,18.6853,12.9164,84.47,17,0,10.38,clear sky
631,Sarangani,PH,5.4033,125.4636,82.94,76,71,20.4,broken clouds
632,Humaita,BR,-7.5061,-63.0208,74.3,92,57,2.42,broken clouds
633,Orcopampa,PE,-15.2661,-72.3417,45.52,51,95,4.21,overcast clouds
634,Vakhrushev,RU,48.9833,142.9667,48.15,83,100,12.95,overcast clouds
635,San Angelo,US,31.4638,-100.437,73.11,27,20,3.0,few clouds
636,Caravelas,BR,-17.7125,-39.2481,75.2,86,56,11.34,broken clouds
637,Chicama,PE,-7.8447,-79.1469,57.74,82,45,6.67,scattered clouds
638,Lydenburg,ZA,-25.0978,30.4597,72.39,49,0,0.63,clear sky
639,Qasigiannguit,GL,68.8193,-51.1922,18.28,79,44,6.13,scattered clouds
640,Porto Walter,BR,-8.2686,-72.7439,74.21,81,17,1.57,few clouds
641,Lagos,NG,6.5833,3.75,77.32,94,86,3.18,overcast clouds
642,Bayangol,RU,50.6977,103.4656,29.8,31,92,0.38,overcast clouds
643,Pingliang,CN,35.5392,106.6861,48.61,72,100,4.61,overcast clouds
644,Sucha Beskidzka,PL,49.7419,19.5943,49.6,71,92,7.54,overcast clouds
645,Kaeo,NZ,-35.1,173.7833,61.79,60,84,6.76,broken clouds
646,San Jose,US,37.3394,-121.895,71.26,68,0,12.66,clear sky
647,Mitsamiouli,KM,-11.3847,43.2844,74.61,73,7,4.59,clear sky
648,Puerto Escondido,MX,15.85,-97.0667,79.36,81,67,1.79,broken clouds
649,Phangnga,TH,8.4509,98.5298,78.84,81,97,2.37,overcast clouds
650,Stornoway,GB,58.2093,-6.3865,58.96,95,100,32.21,moderate rain
651,Razole,IN,16.4833,81.8333,76.19,94,100,3.67,moderate rain
652,Atambua,ID,-9.1061,124.8925,85.21,61,90,2.86,overcast clouds
653,Shellbrook,CA,53.2168,-106.4011,52.83,43,4,5.53,clear sky
654,Ceuta,ES,35.8903,-5.3075,75.24,64,0,9.35,clear sky
655,Broken Hill,AU,-31.95,141.4333,78.73,27,98,22.53,overcast clouds
656,Abengourou,CI,6.7297,-3.4964,70.3,100,53,2.33,broken clouds
657,Batagay,RU,67.6333,134.6333,25.11,81,99,3.96,overcast clouds
658,Kurilsk,RU,45.2333,147.8833,62.51,87,100,22.88,moderate rain
659,Pingzhuang,CN,42.0372,119.2889,41.36,26,0,20.49,clear sky
660,Madera,US,37.1666,-119.8343,79.45,39,0,4.23,clear sky
661,Lazurne,UA,46.084,32.5295,56.82,70,2,8.84,clear sky
662,Pyaozerskiy,RU,65.8333,31.1667,42.82,94,100,4.92,overcast clouds
663,Betsiamites,CA,48.9413,-68.646,50.4,63,62,7.25,broken clouds
664,Akora,PK,34.0036,72.1261,72.97,59,0,5.23,clear sky
665,Saint-Pie,CA,45.5001,-72.8991,43.0,93,100,0.0,overcast clouds
666,Ozu,JP,33.5,132.55,85.17,66,81,10.69,broken clouds
667,Dudinka,RU,69.4058,86.1778,33.62,95,100,25.48,light snow
668,Upata,VE,8.0086,-62.3989,77.2,95,94,2.48,overcast clouds
669,Port Hardy,CA,50.6996,-127.4199,57.38,88,40,3.44,scattered clouds
670,Togur,RU,58.3631,82.8265,31.1,75,64,6.44,broken clouds
